City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Zabid,42,YE,2021-09-25 22:18:20,64,14.1951,43.3152,87.3,7.45
373,Markova,1,UA,2021-09-25 22:18:21,78,48.6758,24.4138,49.93,7.14
374,Nalut,0,LY,2021-09-25 22:18:21,22,30.3333,10.85,83.88,9.89
375,Erattupetta,100,IN,2021-09-25 22:18:22,98,9.7,76.7833,76.3,1.48
376,Nanortalik,1,GL,2021-09-25 22:18:22,75,60.1432,-45.2371,37.63,7.67
377,Svetlogorsk,48,BY,2021-09-25 22:15:38,93,52.6333,29.7333,50.88,11.56
378,San Lorenzo,0,PY,2021-09-25 22:18:22,41,-25.3333,-57.5333,76.59,8.01
379,Ankazobe,66,MG,2021-09-25 22:18:23,76,-18.3167,47.1167,59.41,12.01
380,Benalla,0,AU,2021-09-25 22:18:23,65,-36.55,145.9833,46.85,6.29
381,Lasa,87,IT,2021-09-25 22:16:44,95,46.6166,10.7002,61.68,2.89
382,Harvard,70,US,2021-09-25 22:18:24,36,42.4222,-88.6137,68.99,13.33
383,Kununurra,19,AU,2021-09-25 22:18:24,73,-15.7667,128.7333,69.78,6.91
384,Luanda,20,AO,2021-09-25 22:18:24,88,-8.8368,13.2343,73.4,9.22
385,Wanaka,76,NZ,2021-09-25 22:18:25,73,-44.7,169.15,41.14,1.77
386,Anopino,100,RU,2021-09-25 22:18:25,95,55.6981,40.6671,47.34,7.31
387,Robertsport,99,LR,2021-09-25 22:18:26,84,6.7533,-11.3686,79.93,10.29
388,Hobyo,98,SO,2021-09-25 22:16:50,86,5.3505,48.5268,77.49,22.06
389,Badou,95,TG,2021-09-25 22:18:26,92,7.5833,0.6,72.84,2.75
390,Svetlyy,1,RU,2021-09-25 22:18:27,91,54.675,20.1347,46.45,7.72
391,Akyab,60,MM,2021-09-25 22:18:27,86,20.15,92.9,79.81,8.25
392,Dwarka,74,IN,2021-09-25 22:18:28,81,22.2394,68.9678,80.35,12.75
393,Novichikha,100,RU,2021-09-25 22:18:28,62,52.204,81.3877,40.51,9.13
394,Novikovo,100,RU,2021-09-25 22:18:28,90,51.1537,37.8879,51.19,13.22
395,Vila Velha,75,BR,2021-09-25 22:17:36,68,-20.3297,-40.2925,73.35,11.5
396,Cabinda,94,AO,2021-09-25 22:18:29,85,-5.55,12.2,75.85,6.13
397,Bobo Dioulasso,0,BF,2021-09-25 22:18:29,83,11.1771,-4.2979,79.25,4.61
398,Gambela,100,ET,2021-09-25 22:18:30,98,8.25,34.5833,68.81,1.36
399,Pontianak,90,ID,2021-09-25 22:15:12,100,-0.0333,109.3333,75.18,2.3
400,Dolinsk,100,RU,2021-09-25 22:18:30,69,47.35,142.8,39.06,5.19
401,Watrous,98,CA,2021-09-25 22:18:30,23,51.6668,-105.4679,74.98,5.75
402,Yar-Sale,11,RU,2021-09-25 22:18:31,83,66.8333,70.8333,32.74,7.23
403,Chicama,37,PE,2021-09-25 22:18:31,69,-7.8447,-79.1469,69.91,10.22
404,Kruisfontein,19,ZA,2021-09-25 22:18:31,58,-34.0033,24.7314,53.89,7.43
405,Huilong,84,CN,2021-09-25 22:18:32,77,31.8111,121.655,71.98,9.13
406,Diffa,12,NE,2021-09-25 22:18:32,20,13.3154,12.6113,86.29,1.36
407,Chuy,68,UY,2021-09-25 22:15:04,95,-33.6971,-53.4616,59.02,5.75
